Local time,Ask,Bid,AskVolume,BidVolume
06.06.2022 08:56:19.504 GMT+0200,8786.466,8779.466,0,0
06.06.2022 08:56:20.078 GMT+0200,8785.366,8778.366,0,0
06.06.2022 08:56:20.365 GMT+0200,8787.366,8780.366,0,0
06.06.2022 08:56:21.247 GMT+0200,8788.466,8781.466,0,0
06.06.2022 08:56:22.526 GMT+0200,8789.416,8782.416,0,0
06.06.2022 08:56:29.408 GMT+0200,8790.626,8783.626,0,0
06.06.2022 08:56:29.648 GMT+0200,8791.126,8784.126,0,0
06.06.2022 08:56:30.694 GMT+0200,8791.466,8784.466,0,0
06.06.2022 08:56:30.913 GMT+0200,8791.816,8784.816,0,0.0001
06.06.2022 08:56:43.514 GMT+0200,8792.816,8785.816,0,0
06.06.2022 08:56:43.879 GMT+0200,8792.566,8785.566,0,0
06.06.2022 08:57:00.735 GMT+0200,8791.516,8784.516,0,0
06.06.2022 08:57:13.403 GMT+0200,8787.966,8780.966,0,0
06.06.2022 08:57:20.573 GMT+0200,8787.466,8780.466,0,0
06.06.2022 08:57:23.557 GMT+0200,8788.016,8781.016,0,0
06.06.2022 08:57:35.450 GMT+0200,8790.366,8783.366,0,0
06.06.2022 08:57:35.584 GMT+0200,8791.066,8784.066,0,0
06.06.2022 08:57:44.535 GMT+0200,8791.466,8784.466,0,0
06.06.2022 08:57:44.777 GMT+0200,8792.516,8785.516,0,0
06.06.2022 08:57:51.446 GMT+0200,8791.966,8784.966,0,0
06.06.2022 08:57:54.085 GMT+0200,8792.366,8785.366,0,0
06.06.2022 08:58:42.956 GMT+0200,8792.066,8785.066,0,0
06.06.2022 08:58:56.094 GMT+0200,8791.316,8784.316,0,0
06.06.2022 08:59:46.288 GMT+0200,8791.016,8784.016,0,0
06.06.2022 08:59:47.143 GMT+0200,8787.866,8780.866,0,0
06.06.2022 08:59:47.363 GMT+0200,8788.366,8781.366,0,0
06.06.2022 08:59:48.178 GMT+0200,8787.966,8780.966,0,0
06.06.2022 08:59:50.116 GMT+0200,8787.566,8780.566,0,0
06.06.2022 08:59:50.239 GMT+0200,8787.966,8780.966,0,0
06.06.2022 08:59:50.429 GMT+0200,8789.126,8782.126,0,0
06.06.2022 08:59:51.879 GMT+0200,8787.916,8780.916,0,0
06.06.2022 08:59:52.232 GMT+0200,8788.366,8781.366,0,0
06.06.2022 08:59:53.111 GMT+0200,8789.466,8782.466,0,0
06.06.2022 08:59:53.898 GMT+0200,8789.016,8782.016,0,0
06.06.2022 08:59:54.099 GMT+0200,8789.366,8782.366,0,0
06.06.2022 08:59:57.083 GMT+0200,8790.066,8783.066,0,0
06.06.2022 08:59:58.528 GMT+0200,8789.366,8782.366,0,0
06.06.2022 09:00:00.199 GMT+0200,8790.066,8783.066,0,0
06.06.2022 09:00:00.308 GMT+0200,8788.366,8781.366,0,0
06.06.2022 09:00:00.475 GMT+0200,8786.806,8779.806,0,0
06.06.2022 09:00:00.580 GMT+0200,8787.966,8780.966,0,0
06.06.2022 09:00:00.735 GMT+0200,8787.516,8780.516,0,0
06.06.2022 09:00:01.275 GMT+0200,8787.816,8780.816,0,0.0001
06.06.2022 09:00:02.173 GMT+0200,8788.416,8781.416,0,0.0001
06.06.2022 09:00:03.551 GMT+0200,8789.066,8782.066,0,0.0001
06.06.2022 09:00:04.266 GMT+0200,8789.516,8782.516,0.0001,0.0001
06.06.2022 09:00:04.539 GMT+0200,8790.016,8783.016,0,0.0001
06.06.2022 09:00:05.801 GMT+0200,8791.126,8784.126,0,0.0001
06.06.2022 09:00:06.150 GMT+0200,8789.126,8782.126,0,0
06.06.2022 09:00:07.573 GMT+0200,8789.066,8782.066,0,0
06.06.2022 09:00:08.085 GMT+0200,8789.516,8782.516,0,0
06.06.2022 09:00:08.571 GMT+0200,8787.816,8780.816,0,0
06.06.2022 09:00:09.087 GMT+0200,8789.016,8782.016,0,0
06.06.2022 09:00:09.190 GMT+0200,8790.626,8783.626,0,0
06.06.2022 09:00:09.317 GMT+0200,8789.316,8782.316,0,0
06.06.2022 09:00:09.474 GMT+0200,8790.066,8783.066,0,0
06.06.2022 09:00:09.971 GMT+0200,8790.416,8783.416,0,0
06.06.2022 09:00:10.992 GMT+0200,8790.916,8783.916,0,0
06.06.2022 09:00:13.367 GMT+0200,8790.566,8783.566,0,0
06.06.2022 09:00:13.504 GMT+0200,8790.916,8783.916,0,0
06.06.2022 09:00:13.847 GMT+0200,8792.126,8785.126,0,0
06.06.2022 09:00:14.154 GMT+0200,8790.816,8783.816,0,0
06.06.2022 09:00:16.219 GMT+0200,8793.566,8786.566,0,0
06.06.2022 09:00:16.415 GMT+0200,8795.066,8788.066,0,0
06.06.2022 09:00:17.224 GMT+0200,8795.316,8788.316,0,0.0001
06.06.2022 09:00:17.338 GMT+0200,8795.966,8788.966,0,0.0001
06.06.2022 09:00:17.476 GMT+0200,8795.066,8788.066,0,0.0001
06.06.2022 09:00:27.985 GMT+0200,8793.516,8786.516,0,0
06.06.2022 09:00:28.222 GMT+0200,8793.626,8786.626,0,0
06.06.2022 09:00:30.187 GMT+0200,8792.316,8785.316,0,0
06.06.2022 09:00:30.383 GMT+0200,8788.866,8781.866,0,0
06.06.2022 09:00:30.627 GMT+0200,8789.466,8782.466,0,0
06.06.2022 09:00:30.755 GMT+0200,8789.966,8782.966,0,0
06.06.2022 09:00:31.008 GMT+0200,8790.916,8783.916,0,0
06.06.2022 09:00:31.302 GMT+0200,8793.966,8786.966,0,0
06.06.2022 09:00:31.461 GMT+0200,8793.626,8786.626,0,0
06.06.2022 09:00:31.735 GMT+0200,8792.366,8785.366,0,0
06.06.2022 09:00:31.842 GMT+0200,8794.126,8787.126,0,0
06.06.2022 09:00:33.035 GMT+0200,8794.866,8787.866,0,0
06.06.2022 09:00:33.513 GMT+0200,8795.866,8788.866,0,0
06.06.2022 09:00:35.110 GMT+0200,8796.416,8789.416,0.0001,0.0001
06.06.2022 09:00:35.619 GMT+0200,8795.466,8788.466,0,0
06.06.2022 09:00:35.857 GMT+0200,8795.866,8788.866,0,0
06.06.2022 09:00:38.759 GMT+0200,8795.316,8788.316,0,0
06.06.2022 09:00:39.096 GMT+0200,8795.866,8788.866,0,0
06.06.2022 09:00:44.234 GMT+0200,8795.516,8788.516,0.0001,0
06.06.2022 09:00:44.359 GMT+0200,8795.916,8788.916,0,0
06.06.2022 09:00:45.388 GMT+0200,8796.516,8789.516,0,0
06.06.2022 09:00:45.547 GMT+0200,8797.516,8790.516,0,0
06.06.2022 09:00:48.247 GMT+0200,8798.916,8791.916,0,0
06.06.2022 09:00:48.882 GMT+0200,8799.566,8792.566,0,0
06.06.2022 09:00:49.185 GMT+0200,8800.816,8793.816,0,0
06.06.2022 09:00:49.337 GMT+0200,8799.966,8792.966,0,0
06.06.2022 09:00:50.521 GMT+0200,8800.416,8793.416,0,0
06.06.2022 09:00:50.647 GMT+0200,8801.466,8794.466,0,0
06.06.2022 09:00:51.231 GMT+0200,8802.366,8795.366,0,0.0001
06.06.2022 09:00:51.355 GMT+0200,8803.066,8796.066,0,0
06.06.2022 09:00:51.479 GMT+0200,8803.316,8796.316,0,0.0001
06.06.2022 09:00:51.632 GMT+0200,8804.066,8797.066,0,0.0001
06.06.2022 09:00:51.860 GMT+0200,8804.316,8797.316,0.0001,0
06.06.2022 09:00:52.080 GMT+0200,8805.626,8798.626,0.0001,0
06.06.2022 09:01:01.747 GMT+0200,8805.866,8798.866,0,0.0001
06.06.2022 09:01:03.036 GMT+0200,8805.416,8798.416,0,0.0001
06.06.2022 09:01:05.754 GMT+0200,8804.816,8797.816,0,0.0001
06.06.2022 09:01:06.098 GMT+0200,8805.866,8798.866,0,0.0001
06.06.2022 09:01:07.040 GMT+0200,8804.516,8797.516,0,0
